date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:44:50	13545/13545	---M--	200	added ('OK')	image/jpeg	etag:%2234e9-53c3f01b81240%22	http://ciliegia.local/wp-content/uploads/2016/09/P9280050-326x245.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/09/P9280050-326x245.jpg	(from http://ciliegia.local/)
01:44:52	61757/61757	---M--	200	added ('OK')	image/gif	etag:%22f13d-5403f721a5940%22	http://ciliegia.local/wp-content/uploads/2016/11/giphy-326x245.gif	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/11/giphy-326x245.gif	(from http://ciliegia.local/)
01:44:53	50672/50672	---M--	200	added ('OK')	image/jpeg	etag:%22c5f0-545fdbd4a95c0%22	http://ciliegia.local/wp-content/uploads/2016/12/la-venuta-del-messia.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/12/la-venuta-del-messia.jpg	(from http://ciliegia.local/)
01:44:54	39922/39922	---M--	200	added ('OK')	image/jpeg	etag:%229bf2-5443f1beca93d%22	http://ciliegia.local/wp-content/uploads/2016/12/mondo-interiore.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/12/mondo-interiore.jpg	(from http://ciliegia.local/)
01:44:57	79467/79467	---M--	200	added ('OK')	image/png	etag:%221366b-54367c16fd68d%22	http://ciliegia.local/wp-content/uploads/2016/12/man-161247_1280.png	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/12/man-161247_1280.png	(from http://ciliegia.local/)
01:45:04	33431/33431	---M--	200	added ('OK')	image/jpeg	etag:%228297-538c704849b40%22	http://ciliegia.local/wp-content/uploads/2016/06/finita-la-carta-960x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/06/finita-la-carta-960x438.jpg	(from http://ciliegia.local/)
01:45:07	65393/65393	---M--	200	added ('OK')	image/jpeg	etag:%22ff71-53bee0e6f8c80%22	http://ciliegia.local/wp-content/uploads/2016/09/persistenza-delle-rovine-836x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/09/persistenza-delle-rovine-836x438.jpg	(from http://ciliegia.local/)
01:45:07	45505/45505	---M--	200	added ('OK')	image/jpeg	etag:%22b1c1-538c5b0c58240%22	http://ciliegia.local/wp-content/uploads/2016/06/capo-volto-459x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/06/capo-volto-459x438.jpg	(from http://ciliegia.local/)
01:45:10	47516/47516	---M--	200	added ('OK')	image/jpeg	etag:%22b99c-538c723185d80%22	http://ciliegia.local/wp-content/uploads/2016/06/amore_nazista.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/06/amore_nazista.jpg	(from http://ciliegia.local/)
01:45:12	47820/47820	---M--	200	added ('OK')	image/jpeg	etag:%22bacc-538c73c8bde40%22	http://ciliegia.local/wp-content/uploads/2016/05/Disturbo-444x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/05/Disturbo-444x438.jpg	(from http://ciliegia.local/)
01:45:19	44003/44003	---M--	200	added ('OK')	image/jpeg	etag:%22abe3-53818a17938c0%22	http://ciliegia.local/wp-content/uploads/2016/07/Spider-man-is-watching-you-920x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/Spider-man-is-watching-you-920x438.jpg	(from http://ciliegia.local/)
01:45:19	29214/29214	---M--	200	added ('OK')	image/jpeg	etag:%22721e-53890fd706180%22	http://ciliegia.local/wp-content/uploads/2016/01/portrait_of_a_star-420x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/01/portrait_of_a_star-420x438.jpg	(from http://ciliegia.local/)
01:45:24	51748/51748	---M--	200	added ('OK')	image/jpeg	etag:%22ca24-53825b4b10a00%22	http://ciliegia.local/wp-content/uploads/2016/07/tromba-parlante-1030x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/tromba-parlante-1030x438.jpg	(from http://ciliegia.local/)
01:45:24	17423/17423	---M--	200	added ('OK')	image/jpeg	etag:%22440f-5381516b54380%22	http://ciliegia.local/wp-content/uploads/2016/07/strada-bloccata-438x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/strada-bloccata-438x438.jpg	(from http://ciliegia.local/)
01:45:28	25928/25928	---M--	200	added ('OK')	image/jpeg	etag:%226548-538144d6c5540%22	http://ciliegia.local/wp-content/uploads/2016/07/fantasma-di-un-futuro-passato-640x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/fantasma-di-un-futuro-passato-640x438.jpg	(from http://ciliegia.local/)
01:45:35	87143/87143	---M--	200	added ('OK')	image/jpeg	etag:%2215467-539069ea8c180%22	http://ciliegia.local/wp-content/uploads/2016/03/save-our_planet-1030x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/03/save-our_planet-1030x438.jpg	(from http://ciliegia.local/)
01:45:35	35492/35492	---M--	200	added ('OK')	image/jpeg	etag:%228aa4-53815c994e3c0%22	http://ciliegia.local/wp-content/uploads/2016/07/carogelati-439x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/carogelati-439x438.jpg	(from http://ciliegia.local/)
01:45:37	37972/37972	---M--	200	added ('OK')	image/jpeg	etag:%229454-5381614aef6c0%22	http://ciliegia.local/wp-content/uploads/2016/07/paracadutisti-nonsense-475x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/paracadutisti-nonsense-475x438.jpg	(from http://ciliegia.local/)
01:45:43	47838/47838	---M--	200	added ('OK')	image/jpeg	etag:%22bade-538f135f3d7c0%22	http://ciliegia.local/wp-content/uploads/2016/07/costruire-accanto-alle-macerie.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/costruire-accanto-alle-macerie.jpg	(from http://ciliegia.local/)
01:45:52	194282/194282	---M--	200	added ('OK')	image/jpeg	etag:%222f6ea-5391d131c2640%22	http://ciliegia.local/wp-content/uploads/2016/08/quanto-resta-del-millennio-1030x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/08/quanto-resta-del-millennio-1030x438.jpg	(from http://ciliegia.local/)
01:46:06	70606/70606	---M--	200	added ('OK')	image/jpeg	etag:%22113ce-538176c0196c0%22	http://ciliegia.local/wp-content/uploads/2016/07/maometto-allinferno-640x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/maometto-allinferno-640x438.jpg	(from http://ciliegia.local/)
01:46:13	117205/117205	---M--	200	added ('OK')	image/jpeg	etag:%221c9d5-5382bf94ee640%22	http://ciliegia.local/wp-content/uploads/2016/07/atropo-1030x438.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/atropo-1030x438.jpg	(from http://ciliegia.local/)
01:46:17	200330/200330	---M--	200	added ('OK')	image/png	etag:%2230e8a-5390572d90c00%22	http://ciliegia.local/wp-content/uploads/2015/12/il_maschietto_di_frascati-445x438.png	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2015/12/il_maschietto_di_frascati-445x438.png	(from http://ciliegia.local/)
01:46:18	38497/38497	---M--	200	added ('OK')	image/jpeg	etag:%229661-53826d79f3040%22	http://ciliegia.local/wp-content/uploads/2016/07/il-premio-del-carcerato.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2016/07/il-premio-del-carcerato.jpg	(from http://ciliegia.local/)
01:46:19	81805/81805	---M--	200	added ('OK')	image/jpeg	etag:%2213f8d-5441be90a0bf8%22	http://ciliegia.local/wp-content/uploads/2014/12/phallus-dei.jpg	/var/www/scritture-static/ciliegia.local/wp-content/uploads/2014/12/phallus-dei.jpg	(from http://ciliegia.local/)
